__row,name,alt_name,ra,dec,lii,bii,helio_distance,galcen_distance,x_distance,y_distance,z_distance,metallicity,num_metallicity_measures,reddening,hb_vmag,app_distance_mod,vmag,abs_vmag,ub_color,bv_color,vr_color,vi_color,spect_type,ellipticity,radial_velocity,radial_velocity_error,lsr_radial_velocity,central_sigma_v,central_sigma_v_error,central_concentration,core_collapse_flag,core_radius,half_light_radius,cent_surf_brightness,log_lum_density,log_core_relaxtime,log_hmr_relaxtime,class,__x_ra_dec,__y_ra_dec,__z_ra_dec
102,NGC 5897,,229.35208,-21.01028,342.94626,30.29395,12.5,7.4,10.3,-3.2,6.3,-1.90,3,0.09,16.27,15.76,8.53,-7.23,0.08,0.74,0.50,1.04,F7,0.08,101.5,1.0,108.4,,,0.86,,1.40,2.06,20.53,1.53,9.33,9.57,3080,-0.708283701036784,-0.608100779714646,-0.358535410463282
103,2MS-GC02,2MASS-GC02,272.40208,-20.77889,9.78209,-0.61515,4.9,3.2,4.9,0.8,-0.1,-1.08,1,5.16,30.10,29.46,24.60,-4.86,,,,,,,-238.0,36.0,-227.4,,,0.95,,0.55,0.55,,,,7.72,3080,-0.934134915191595,0.0391858788400346,-0.354762493958319
104,NGC 6440,,267.21958,-20.36025,7.72860,3.80124,8.5,1.3,8.4,1.1,0.6,-0.36,6,1.07,18.70,17.95,9.20,-8.75,1.47,1.97,1.24,2.51,G4,0.01,-76.6,2.7,-65.9,,,1.62,,0.14,0.48,17.06,5.24,7.60,8.62,3080,-0.936419916465623,-0.0454777519960462,-0.347921706882313
105,2MS-GC01,2MASS-GC01,272.09087,-19.82972,10.47099,0.10007,3.6,4.5,3.5,0.7,0.0,,0,6.80,34.50,33.85,27.74,-6.11,,,,,,,,,,,,0.85,,0.85,1.65,,,,8.43,3080,-0.940078616549,0.0343211994344227,-0.33922595710927
106,Pal 8,,280.37458,-19.82583,14.10464,-6.79707,12.8,5.5,12.3,3.1,-1.5,-0.37,3,0.32,17.27,16.53,11.02,-5.51,0.72,1.22,,,,,-43.0,15.0,-32.3,,,1.53,,0.56,0.58,20.00,2.34,8.65,8.47,3080,-0.925348409432759,0.169408932311169,-0.33916210698345
107,NGC 6342,,260.29200,-19.58742,4.89864,9.72506,8.5,1.7,8.4,0.7,1.4,-0.55,5,0.46,16.80,16.08,9.66,-6.42,0.77,1.26,0.80,1.57,G3/,0.18,115.7,1.4,126.3,5.2,2.1,2.50,c,0.05,0.73,16.97,4.97,6.16,8.51,3080,-0.928639722488569,-0.158868748979428,-0.335244666496076
108,NGC 6333,M 9,259.79692,-18.51594,5.54352,10.70702,7.9,1.7,7.7,0.7,1.5,-1.77,2,0.38,16.20,15.67,7.72,-7.95,0.32,0.97,0.63,1.33,F5/,0.04,229.1,7.0,239.8,,,1.25,,0.45,0.96,17.39,3.78,8.36,8.90,3080,-0.933239997565965,-0.167968226914001,-0.317568546443826
109,NGC 6356,,260.89554,-17.81303,6.72353,10.21993,15.1,7.5,14.7,1.7,2.7,-0.40,5,0.28,17.50,16.76,8.25,-8.51,0.63,1.13,0.69,1.45,G3,0.03,27.0,4.3,38.0,,,1.59,,0.24,0.81,17.02,3.78,8.37,9.30,3080,-0.940065330924958,-0.150649096669122,-0.305911790007718
110,GLIMPSE02,,274.62708,-16.97722,14.12768,-0.64521,5.5,3.0,5.4,1.4,-0.1,-0.33,1,7.85,38.80,38.05,,,,,,,,,,,,,,1.33,,0.70,,,,,,3080,-0.953303800019006,0.0771545572486542,-0.291991505296109
111,NGC 7492,,347.11096,-15.61150,53.38602,-63.47749,26.3,25.3,7.0,9.4,-23.5,-1.78,5,0.00,17.63,17.10,11.29,-5.81,0.23,0.42,,,,0.24,-177.5,0.6,-176.2,1.2,1.0,0.72,,0.86,1.15,20.68,1.27,9.60,9.44,3080,-0.21483454238159,0.93884196771297,-0.269113134314422
