identifier,ra_deg,dec_deg,galactic_longitude_deg,galactic_latitude_deg,major_axis_arcmin,minor_axis_arcmin,morphology,flux_1ghz_jy,flux_limit_flag,flux_uncertain,spectral_index,spectral_index_flag,alternate_names
G032.4+00.1,282.5208333333333,-0.4166666666666667,32.40668035638637,0.11138838398147435,6.0,6.0,S,0.800000011920929,,?,0.20000000298023224,?,
G032.8-00.1,282.85416666666663,-0.13333333333333333,32.810838311145964,-0.05607087906117892,22.0,15.0,S?,12.0,,,0.30000001192092896,,Kes 78
G033.2-00.6,283.4583333333333,-0.03333333333333333,33.175334229138905,-0.5481722231415032,18.0,18.0,S,3.0,,,0.30000001192092896,,
G033.6+00.1,283.19999999999993,0.6833333333333333,33.695352560620194,0.008544279416785287,10.0,10.0,S,20.0,,,0.5099999904632568,,"Kes 79, 4C00.70, HC13"
G034.7-00.4,283.99999999999994,1.3666666666666667,34.6683106173818,-0.39157956581620806,35.0,27.0,C,240.0,,,0.3700000047683716,,"W44, 3C392"
G035.6-00.4,284.47916666666663,2.216666666666667,35.643228974747565,-0.429725211403276,15.0,11.0,S?,9.0,,,nan,v,
G036.6-00.7,285.1458333333333,2.9333333333333336,36.585058377750215,-0.6946723777766846,25.0,25.0,S?,1.0,,,0.699999988079071,?,
G036.6+02.6,282.20416666666665,4.433333333333334,36.58192085982973,2.6018673007879194,17.0,13.0,S,0.699999988079071,,?,0.5,?,
G038.7-01.3,286.6666666666667,4.466666666666667,38.64366793513363,-1.3410333116563589,32.0,19.0,S,nan,,?,nan,?,
G039.2-00.3,286.0333333333333,5.466666666666667,39.24257344720611,-0.32147880331956735,8.0,6.0,C,18.0,,,0.3400000035762787,,"3C396, HC24, NRAO 593"
G039.7-02.0,288.0833333333333,4.916666666666667,39.6938139656962,-2.387167837154075,120.0,60.0,?,85.0,,?,0.699999988079071,?,"W50, SS433"
G040.5-00.5,286.79166666666663,6.516666666666667,40.521692013399225,-0.5091756179941743,22.0,22.0,S,11.0,,,0.4000000059604645,,
G041.1-00.3,286.89166666666665,7.133333333333334,41.114907450068046,-0.3135985622497587,4.5,2.5,S,25.0,,,0.5,,3C397
G041.5+00.4,286.4583333333333,7.766666666666667,41.47975418763975,0.3591706357901474,10.0,10.0,S?,1.0,,?,nan,?,
G042.0-00.1,287.04166666666663,8.0,41.95271790996743,-0.04657353434194407,8.0,8.0,S?,0.5,,?,nan,?,
G042.8+00.6,286.8333333333333,9.083333333333334,42.81962928920996,0.6350043266935138,24.0,24.0,S,3.0,,?,0.5,?,
G043.3-00.2,287.7833333333333,9.1,43.26703384493142,-0.18966456355797356,4.0,3.0,S,38.0,,,0.46000000834465027,,W49B
G043.9+01.6,286.4583333333333,10.5,43.90840847142399,1.6140548776138939,60.0,60.0,S?,9.0,,,0.5,,
G045.7-00.4,289.1041666666666,11.15,45.68634771833104,-0.3898171823713327,22.0,22.0,S,4.199999809265137,,?,0.4000000059604645,?,
G046.8-00.3,289.54166666666663,12.15,46.77074221640632,-0.3019099859216841,15.0,15.0,S,16.0,,,0.5400000214576721,,(HC30)
G049.2-00.7,290.9583333333333,14.1,49.14046036760585,-0.6028074233656264,30.0,30.0,S?,160.0,,?,0.30000001192092896,?,(W51)
G053.4+00.0,292.48749999999995,18.166666666666668,53.41586314764887,0.04216873653562379,10.0,10.0,S,1.5,,,0.6000000238418579,?,
G053.6-02.2,294.7083333333333,17.233333333333334,53.6255280872605,-2.260696785152392,33.0,28.0,S,8.0,,,0.5,,"3C400.2, NRAO 611"
G054.1+00.3,292.62916666666666,18.866666666666667,54.094434148481625,0.26032041250151544,12.0,12.0,C?,0.5,,,0.10000000149011612,,
G054.4-00.3,293.3333333333333,18.933333333333334,54.47399717106378,-0.29122435314480727,40.0,40.0,S,28.0,,,0.5,,(HC40)
G055.0+00.3,293.0,19.833333333333332,55.11020246528953,0.41878835127943576,20.0,15.0,S,0.5,,?,0.5,?,
G055.7+03.4,290.3333333333333,21.733333333333334,55.59874328135082,3.5149918723356897,23.0,23.0,S,1.0,,?,0.30000001192092896,?,
