__row,alt_name,bii,class,constell,dec,dimension,lii,name,notes,object_type,ra,vmag,vmag_uncert,__x_ra_dec,__y_ra_dec,__z_ra_dec
98,NGC 4258,68.8482577,6200,CVN,47.3001,18X8,138.305544,M 106,,S,184.7498,8.3,,-0.0561553267313765,-0.675829833269334,0.734915379987952
99,NGC 7092,-2.287215,3600,CYG,48.4333,32,92.4513795,M 39,,OC,323.0499,4.6,,-0.39883777318027,0.530235538033361,0.748183603730445
100,NGC 650-1,-10.5102761,3560,PER,51.5666,2X1,130.9466009,M 76,LITTLE DUMBBELL NEBULA,PL,25.5998,11.5,:,0.268584521994198,0.56058400164248,0.783331303885943
101,NGC 3992,61.9154891,6200,UMA,53.3834,8X5,140.0831661,M 109,,S,179.3998,9.8,,0.00624762935115303,-0.596424725314577,0.802644699827341
102,NGC 5457,59.7710892,6200,UMA,54.3501,27X26,102.0405571,M 101,,S,210.7999,7.7,,-0.29843374939825,-0.500629460559336,0.812593034944412
103,NGC 3587,57.0522216,3560,UMA,55.0167,3,148.4913786,M 97,OWL NEBULA,PL,168.6998,11.2,:,0.112344943550224,-0.562222514186403,0.819319509227393
104,NGC 3556,56.2557465,6200,UMA,55.6667,8X2,148.3264242,M 108,,S,167.8748,10.0,,0.118468378128986,-0.551423233641294,0.825770949346165
105,,58.6273364,9999,UMA,58.0834,,130.3045835,M 40,"WINNECKE 4, A DOUBLE STAR OF 50 ARCSEC SEPARATION",,185.5999,8.0,*,-0.0515891918664408,-0.5261612201879,0.848818546953911
106,NGC 581,-1.7583285,3600,CAS,60.6999,6,128.022256,M 103,,OC,23.2998,7.4,:,0.193571792088364,0.449473087870529,0.872068749920458
107,NGC 7654,0.4485544,3600,CAS,61.5833,13,112.7482663,M 52,,OC,351.0499,6.9,,-0.0740351372503718,0.470086798529979,0.879509636274756
108,NGC 3031,40.9027487,6200,UMA,69.0667,26X14,142.0870863,M 81,,S,148.8998,6.8,,0.184548613627559,-0.305926739558975,0.933997130204885
109,NGC 3034,40.5596785,6600,UMA,69.6834,11X5,141.410461,M 82,,IR,148.9497,8.4,,0.179086046133811,-0.297457985486419,0.937788320971486
